uri,duration
spotify:track:3jnQcyntqZ5Btpal1Msikp,256487
spotify:track:3ZOEytgrvLwQaqXreDs2Jx,269000
spotify:track:5Uv1YNz6uBepPLDdoFANKQ,271000
spotify:track:5QTEEImISE4USGEwqAci8O,230733
spotify:track:10kXRABCL2V5t5f5oFjjdq,216386
spotify:track:7tr2za8SQg2CI8EDgrdtNl,230813
spotify:track:5JU7FgGJqgGPUaJA2nhZvm,420440
spotify:track:02vK8PPOQPDcbxNe4YHdme,178263
spotify:track:2Z8WuEywRWYTKe1NybPQEW,214506
spotify:track:4Y3WqmBWmG23thvU9xEhMv,186960
spotify:track:1SayqEg8HKK2IeIEWjdYxY,207186
spotify:track:4trP8fQrd0cmAPTarH9E2m,293226
spotify:track:0poxIvI8mH3TZcGp4T7BWs,226880
spotify:track:7clUVcSOtkNWa58Gw5RfD4,287906
spotify:track:4YA8ITC3OeIZElyLOlWdW3,249440
spotify:track:65ULaMAWzUp4wLjMe7bVQz,296973
spotify:track:0h1vfY6DdzLy1QbZLOQv64,245550
spotify:track:4Fp23GGA5WNWgoDjdhBHeK,221293
spotify:track:1wIUWGdTdhVk5gIPd0ULxX,262000
spotify:track:213x4gsFDm04hSqIUkg88w,192280
spotify:track:4LJyVZnitp3nJI3gSSFhi4,234720
spotify:track:1vGaDyAHug4rFDhTJX73pT,494533
spotify:track:4W4wYHtsrgDiivRASVOINL,320680
spotify:track:4cIPLtg1avt2Jm3ne9S1zy,179600
spotify:track:6Pc5YpUReYYToXJ23TmkLS,293213
spotify:track:45MllV1fJos1Ef6Cd13H2E,84173
spotify:track:3GUMMzUB7Kk0BSqxEDyieS,263315
spotify:track:3FCto7hnn1shUyZL42YgfO,336093
spotify:track:3EissuXjQZQrjpHh8gRCG1,286240
spotify:track:7f1aOC7sKCLj9dDM8Wqdm6,99202
spotify:track:7KtsHby5D21gJbLGH5Jymo,302600
spotify:track:0dOg1ySSI7NkpAe89Zo0b9,278680
spotify:track:2IYDtWfkouiDYi0yThRgdv,190826
spotify:track:0WZZJ0mDKIkLfL0710ssZt,288333
spotify:track:2qBirMakpTdz9ymxrZEyzg,160866
spotify:track:3Dzso9Q2WwupEclqgxBZht,145161
spotify:track:6JNJERZGJwDVgkmbohBw7u,246440
spotify:track:689lBKIELtWGHfsPWpR6rv,130080
spotify:track:5RbY8aI4RgMf4Wqaife41X,264493
spotify:track:5HWfFv6sEBnpfRgJYOSCPv,130320
spotify:track:6yAnVsBfrw3mf40jBZiQX7,294269
spotify:track:0CgpCtEPvyDizcg2p47VrU,207533
spotify:track:3koCCeSaVUyrRo3N2gHrd8,339320
spotify:track:4z5eLUR8oCbRywMw1ytNol,252162
spotify:track:2g2GkH3vZHk4lWzBjgQ6nY,125440
spotify:track:1y96w7WDPlwByq9aISEi6G,197746
spotify:track:76D8CtqEqnWBWeCDMBUdFB,206453
spotify:track:1TfqLAPs4K3s2rJMoCokcS,216933
spotify:track:7yq4Qj7cqayVTp3FF9CWbm,204280
spotify:track:6guoJhM9n5Fm7npXJ1rfsM,264840
spotify:track:3nBGFgfRQ8ujSmu5cGlZIU,205925
spotify:track:5RzXSxR7BUhEtpqh77lMbR,269760
spotify:track:5Dp8iBqAjkmh3kRX9bNPM7,195428
spotify:track:0DHhZiM50FWg2enhEtGeho,252917
spotify:track:1B75hgRqe7A4fwee3g3Wmu,257359
spotify:track:04waBn6uK4Af8udH2KqQri,303333
spotify:track:06xLo8Oa53wmBMdWcIsqPL,234800
spotify:track:7nqnMxJAtbgctaOtUpyHVK,236493
spotify:track:4E2RRctYO1FJwBK3u36xQr,168600
spotify:track:4RoVnrnE2Mk9AJlZmJVKZG,248066
spotify:track:2rgqPSIRAfaO2MGo9smdSX,231093
spotify:track:6DCZcSspjsKoFjzjrWoCdn,198973
spotify:track:6SEolIp22t0DzeBfCBo3hr,311837
spotify:track:4KIgdQHsMluyOLJk1tDDhK,239986
spotify:track:21qEwua8bpLQn1HhLkyzr7,273253
spotify:track:1ymdiBKBQ1BH3lUClFVhOP,364173
spotify:track:37Q5anxoGWYdRsyeXkkNoI,246520
spotify:track:2jEjxOyKqMpkcThWl697hf,185826
spotify:track:5UBeN0XvvIvnEjyp6uThr4,255133
spotify:track:6x4tKaOzfNJpEJHySoiJcs,220293
spotify:track:71E83jKHQ7MQ7dOsj9WBPT,240600
spotify:track:1mzn6CQ71eUmgCSfbVmicN,257240
spotify:track:0eRWi03wl5kZUYLsTfNHtr,193133
spotify:track:2NXYLpZdCZ6qaqZlaMpDMd,209893
spotify:track:72Hxj0n2B3IYx1mf4ecALh,325000
spotify:track:714hERk9U1W8FMYkoC83CO,244920
spotify:track:5JpqQMH685eFKxNkwuIqkU,168483
spotify:track:7mbbGuqfaIIFHImIwu45Xi,175000
spotify:track:7w00vSQ15P2c7YnNGC83lN,268226
spotify:track:6L89mwZXSOwYl76YXfX13s,181533
spotify:track:7jr3iPu4O4bTCVwLMbdU2i,189173
spotify:track:6VO9i1n879SKNqjZkzaPvB,193573
spotify:track:6rFtTpj8CoOmPhuS5JbGaj,235000
spotify:track:6f1qmIb4Q3UelVAktv9O1A,300181
spotify:track:47dKd4opEgipcKYEQm4CX4,226763
spotify:track:3cQjYe9lW3LNWGR52yyZJ3,208800
spotify:track:05SBRd4fXgn8FX7bf8BCAE,234506
spotify:track:0IjCJNyvBcbC2XV2mwehuO,268170
spotify:track:1rjbS5xbI3vHJMOlIP3u6k,40946
spotify:track:0O9BqfU1Cdm7YqmD0TrT9i,295826
spotify:track:7vyoW05GVoyfdmpGtNkL5T,219866
spotify:track:0RnIOg4dw5VTdeWg2hX0pJ,198608
spotify:track:7D2q9JnXzNk61lY9vDKnvt,187373
spotify:track:4YMQXzscifAREG0a7KNGhB,196466
spotify:track:1wo3UYTeizJHkwYIuLuBPF,451320
spotify:track:3G9lYI5T6INSLf78hJCv5Z,281546
spotify:track:4YJUTdZ0Pgl0ZeNyHYXeLd,217386
spotify:track:4pdPtRcBmOSQDlJ3Fk945m,205946
spotify:track:4m6OC8u2rC6LMFtFWsME7d,166760
spotify:track:3BJe4B8zGnqEdQPMvfVjuS,265427
spotify:track:2YWjW3wwQIBLNhxWKBQd16,176561
spotify:track:6dOzqs6o4DNzXs4jF2v1Yq,269053
spotify:track:2nVHqZbOGkKWzlcy1aMbE7,508200
spotify:track:2ri0lTjVeBkWAmRVkJoHXL,226226
spotify:track:40PFDsokiYouQUg4oBY1WQ,190240
spotify:track:3IQF4xCQUPicbA4hWfTxPo,234546
spotify:track:1kjs5eR4DMzyB0gm1Z8waV,165019
spotify:track:3ydweVPwq9PCEVJ8WwqT6u,313000
spotify:track:1E1uGhNdBe6Dddbgs2KqtZ,238560
spotify:track:2374M0fQpWi3dLnB54qaLX,295893
spotify:track:3swc6WTsr7rl9DqQKQA55C,221440
spotify:track:3HXutGtrrYsM5yIrWlvF11,227866
spotify:track:2oaK4JLVnmRGIO9ytBE1bt,302000
spotify:track:6xAORvvGEMK44FygUsiMQy,273146
spotify:track:5nZTz4MQic2Fnt9WxekeUF,250933
spotify:track:1Zc3IvDwhQ6rUnL69XfkB4,218346
spotify:track:6iCmgWALPSevVLad4ZEEx0,237106
spotify:track:6xaYStR8hIimvEmKLwv4Gh,238906
spotify:track:5BLV3Gm7gtpmLA1D54MRSg,368493
spotify:track:12NW2sUhBFz5VUxDZTp3Op,283053
spotify:track:16wwbTwgor5lgauAEXS2qQ,237773
spotify:track:4lmhVHC5sU5PLqpPDlcdLV,266160
spotify:track:4U2b99X9hSSDjPbHCpIeJj,150600
spotify:track:3FKbpQhczilHZD5LJOqSdR,243400
spotify:track:0aJrYfARfCKzv6gXjhs4SZ,209546
spotify:track:3tiJUOfAEqIrLFRQgGgdoY,162500
spotify:track:7dVj5UjkSMybmGDCdyVPUt,302788
spotify:track:7DvslffbBv9UsiXcSMqMXY,149989
spotify:track:4kELKaXaNP4EQR8Q8xNIID,187331
spotify:track:18Q3WTfyWX1tdS1cp42NhA,282958
spotify:track:1Q868ppOLcMxXWtAfORzHV,146204
spotify:track:7fb6cCaSVGF9lGfAg4cxFi,189893
spotify:track:05vL56xSoxthM0r7IfcQjo,270533
spotify:track:0VXfZi7XhfJnuBvF6XiypU,210673
spotify:track:1pHPpLVH2XEN0xYRoQs4wq,172666
spotify:track:3J8UPLZhNFQi3o2qIvwLjY,309081
spotify:track:3fJeJZlQVMCKZUw0BbPkSq,172893
spotify:track:2SSMbMqXcv8mECBoSSYRPV,150933
spotify:track:4rDbp1vnvEhieiccprPMdI,296480
spotify:track:0VgkVdmE4gld66l8iyGjgx,204600
spotify:track:0wokCRaKD0zPNhMRXAgVsr,340200
spotify:track:40xcrghLmBuKzRFSZ6klGZ,226763
spotify:track:1mZXYaXINB9I76OPkOXsN0,167360
spotify:track:3Nz8UyUAM78q4LoKJATtFQ,191438
spotify:track:3awlW6flEG4juGnGCduWw9,288250
spotify:track:37j56IWzpplKE5zrlQRmxc,196706
spotify:track:3Dbgo1HE3DErIBNDIO4Hyd,303433
spotify:track:0WajUW5XINeraP2w0F3F8E,183973
spotify:track:33DMB4aPkLAsBK1ZsVgJcv,133000
spotify:track:1h04XMpzGzmAudoI6VHBgA,180893
spotify:track:6hmYi0E6EBEmDeztQHaH0C,204466
spotify:track:3i25w2HOWoafnTIiWJCL71,370920
spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,202333
spotify:track:0syxBXqvW4MhO3yYGcxkuw,110445
spotify:track:6Ar3WnXnkY11zhFVy9hbOk,240933
spotify:track:0s9iofqbQdsmWZQJ1TZh1c,162825
spotify:track:4xiyq1iRdsxuU1BPUJ490Z,203266
spotify:track:3k9i7UzeSUYWIfUZFeFDUd,423840
spotify:track:4KFM3A5QF2IMcc6nHsu3Wp,267266
spotify:track:61qn7uoDsuswZs5p2DkFiP,212733
spotify:track:3ieDOGcOqVxScs2VZBzidt,292080
spotify:track:52Rp3xBJFYYdmpgzDy0Quf,232733
spotify:track:44AyOl4qVkzS48vBsbNXaC,182360
spotify:track:79Dl8iYn0PFQG2wqDxPlQU,276413
spotify:track:3FUS56gKr9mVBmzvlnodlh,313666
spotify:track:2MXqrO1RBfek6RoijghYYp,164360
spotify:track:7pYfyrMNPn3wtoCyqcTVoI,201493
spotify:track:4IvZLDtwBHmBmwgDIUbuwa,201186
spotify:track:3wPcdx0w6eEB0iv0n2lAN8,224826
spotify:track:0JiVRyTJcJnmlwCZ854K4p,161200
spotify:track:2SJf7W18D1AEpr8L9ATu0c,205113
