master_metadata_album_artist_name,artist_genre
Arizona Zervas,unknown
Aleph-1,glitch
Arvid Häggström,unknown
Bad Suns,unknown
John Lennon,christmas
El Super Hobby,cumbia
Tu Papa,cumbia
Charlton Heston,unknown
Palo Pandolfo,argentine rock
Maia Mitchell,unknown
M-Clan,unknown
The Neighbourhood,unknown
Marvin Berry,unknown
Supertramp,progressive rock
Tom Petty and the Heartbreakers,classic rock
Sade,unknown
Chicago,soft rock
Kenny G,smooth jazz
Perry Como,christmas
PJ Morton,neo soul
Steppenwolf,classic rock
M83,unknown
Cristian Castro,latin pop
Mart'nália,samba
Moloko,trip hop
Vanilla,lo-fi beats
Bucks Fizz,unknown
Muse,alternative rock
"quickly, quickly",lo-fi
KALEO,unknown
Chorus - Hercules,unknown
aLee DJ,unknown
bôa,unknown
Mc Danone,funk de bh
Andy Williams,christmas
Zion & Lennox,reggaeton
Planet or Plastic?,unknown
Vinícius,bossa nova
Ski Mask The Slump God,unknown
Vilma Palma e Vampiros,rock en español
ROSE BEAT,unknown
Carl Douglas,unknown
Daddy Yankee,reggaeton
Harmonia & Eno '76,krautrock
Ram Jam,southern rock
A Flock Of Seagulls,new wave
Tim Maia,mpb
Buddy Guy,blues
Joan Manuel Serrat,trova
Enrique Iglesias,latin pop
Makano,reggaeton
The 8-Bit Big Band,big band
Big Yamo,reggaeton
Kale “La Evolución”,unknown
Bob Seger,classic rock
Robben,unknown
Alex Rose,trap latino
The Kid LAROI,unknown
MC Fioti,funk
Fred Mollin and the Blue Sea Band,boogie-woogie
ELIO,unknown
Anderson .Paak,unknown
Giuseppe Verdi,opera
Billy Cobham,jazz fusion
Revol,trap latino
JAY-Z,hip hop
Kina,unknown
Linkin Park,nu metal
Brian Lanzelotta,cumbia
Conociendo Rusia,latin indie
Cory Henry,retro soul
Count Basie,big band
Neil Hannon,unknown
Ases Falsos,latin rock
Charles Givings,unknown
Varra,jazz fusion
The Internet,alternative r&b
Pitbull,unknown
Sabrepulse,unknown
4 Non Blondes,unknown
Alex Zurdo,christian
Nene Malo,cumbia
Cindy Bullens,musicals
Grateful Dead,psychedelic rock
Selena Gomez & The Scene,unknown
Lali,unknown
A$AP Rocky,rap
Los Yetis,unknown
Dalex,reggaeton
USHER,r&b
Conan Gray,unknown
Jaymes Young,unknown
Richard Coleman,argentine rock
Lee Ritenour,smooth jazz
Mano Arriba,cumbia
Alexis y Fido,reggaeton
Wintrz!,unknown
Gabry Ponte,slap house
Jx.Zero,unknown
Neil Young,classic rock
Wu-Tang Clan,east coast hip hop
Cymande,afrobeat
Canserbero,latin hip hop
Vinícius de Moraes,bossa nova
Mount Royal Orchestra,pirate metal
Jason Mraz,soft pop
Kim Carnes,unknown
Sofía Gabanna,latin hip hop
Noisettes,unknown
Passenger,folk pop
The Housemartins,jangle pop
Hudson Mohawke,unknown
Martin Miller,unknown
Chali 2na,unknown
Starlight Orchestra,neue deutsche welle
Coopex,slap house
Avalon,psytrance
LMFAO,unknown
Dancing Mood,ska
Ashley Tisdale,unknown
Charles Wright & The Watts 103rd Street Rhythm Band,unknown
Donny Osmond,unknown
Ray Parker Jr.,unknown
Chernikovskaya Hata,post-punk
Gunna,melodic rap
Cream,classic rock
ECKO,rkt
Gus Dapperton,bedroom pop
pewdiepie,unknown
Yola,retro soul
Air,trip hop
Fobia,rock en español
Andy Grammer,unknown
Jaden,unknown
Cody Fry,unknown
Banda Original Columbia,unknown
Ludwig van Beethoven,classical
Sonny Rollins,hard bop
Ariana Grande,pop
Marty McFly,unknown
Dani Cejas,rkt
Simon & Garfunkel,folk rock
DJ MRK,turreo
Still Woozy,bedroom pop
Damián Córdoba,cuarteto
Wiz Khalifa,rap
Spice Girls,unknown
Weld,norwegian pop
Antônio Carlos Jobim,bossa nova
Thundercat,unknown
Casa De Leones,reggaeton
Edward Maya,unknown
((( O ))),unknown
CoryaYo,jazz rap
o k h o,lo-fi
Quincy Jones,soul jazz
Counting Crows,unknown
Rosario Serafin,unknown
George Duke,jazz funk
Broken Bells,unknown
Dizzee Rascal,grime
Alma Bella,unknown
Starship,unknown
Giveon,
Pasandola Bomba,cumbia
Bobby Womack,soul
Benzz,uk drill
The Wonders,unknown
Chico Buarque,mpb
"""Weird Al"" Yankovic",comedy
Jodi Benson,unknown
Nat King Cole Trio,vocal jazz
Dickey Betts,southern rock
Mark Mendy,unknown
Becky G,reggaeton
The Outfield,unknown
Amar Azul,cumbia
The Guess Who,classic rock
Nick Jonas,unknown
Steven Universe,unknown
Maxine Nightingale,unknown
Indios,latin indie
B. E. King,unknown
C418,unknown
Bully,unknown
Loca People,unknown
Sticky Fingers,surf rock
Wisin & Yandel,reggaeton
Halestorm,unknown
Dominik Hauser,unknown
Josh Gad,musicals
Lalo Ebratt,reggaeton
Ross Lynch,unknown
Kinder Malo,unknown
Kupla,lo-fi
Elia y Elizabeth,unknown
Jeff Beck,jazz fusion
Danny DeVito,unknown
Dj Panda Boladao,phonk
OMI,unknown
Tinariwen,gnawa
Memphis La Blusera,argentine rock
Village People,disco
PNAU,unknown
The Barden Bellas,unknown
MC Pat Flynn,unknown
F.R. David,unknown
Ugly Kid Joe,glam metal
Ango,hard house
Marcus Miller,jazz fusion
C.R.O,argentine trap
Black Box,eurodance
Kevin Johansen,latin folk
Melo.Kids,unknown
Texas,unknown
Megadeth,thrash metal
The Wallflowers,unknown
DragonForce,power metal
Girl Talk,unknown
Lady Wray,retro soul
Commodores,motown
Sael,urbano latino
Raphael Saadiq,neo soul
Volt Boy,unknown
ABC,new wave
Hans Zimmer,soundtrack
When In Rome,new wave
Quiet Riot,glam metal
The Five Stairsteps,unknown
24kGoldn,unknown
STRFKR,unknown
Rob Base & DJ EZ Rock,hip house
Danny Wilson,unknown
Dusty Springfield,unknown
Handsome Boy Modeling School,trip hop
UB40,reggae
B.o.B,unknown
Bronski Beat,synthpop
