master_metadata_album_artist_name,artist_genre,macro_genre
Rod Stewart,soft rock,Pop/Rock
Sie7e,spanish-language reggae,unknown
Dr. Dre,g-funk,Otros
Attaque 77,argentine rock,Pop/Rock
Clean Bandit,unknown,unknown
Ricardo Mollo,argentine rock,Pop/Rock
Annie Lennox,synthpop,Pop/Rock
Sly & The Family Stone,motown,unknown
Kanye West,rap,Urban
Dexys Midnight Runners,unknown,unknown
Death From Above 1979,modern rock,Pop/Rock
Tame Impala,indie,Pop/Rock
Charlie Puth,soft pop,Pop/Rock
Madness,ska,unknown
Chick Corea,jazz fusion,Otros
One Direction,unknown,unknown
Fine Young Cannibals,unknown,unknown
A Taste Of Honey,disco,unknown
Pedro Y Pablo,argentine rock,Pop/Rock
Clifford Brown,hard bop,unknown
Robbie Williams,unknown,unknown
The Clash,punk,Pop/Rock
The Supremes,motown,unknown
Noriel,trap latino,Urban
Sumo,argentine rock,Pop/Rock
The Killers,alternative rock,Pop/Rock
Bill Withers,soul,Otros
Desiigner,unknown,unknown
Phil Collins,soft rock,Pop/Rock
Jackie Wilson,northern soul,Otros
Blue Swede,unknown,unknown
Kendrick Lamar,hip hop,Urban
El Villano,cumbia,Regional
The Doors,psychedelic rock,Pop/Rock
Soundgarden,grunge,Pop/Rock
Bhavi,argentine trap,Urban
INXS,unknown,unknown
Soft Cell,synthpop,Pop/Rock
Mancha De Rolando,argentine rock,Pop/Rock
APM Mother's Day Ensemble,unknown,unknown
Mike Posner,unknown,unknown
Lipps Inc.,disco,unknown
DJ Khaled,unknown,unknown
El Reja,cumbia,Regional
Papu DJ,rkt,unknown
Frankie Goes To Hollywood,synthpop,Pop/Rock
Los Bonnitos,cumbia,Regional
Idealism,lo-fi,unknown
Flughand,lo-fi,unknown
Madonna,unknown,unknown
Invisible,argentine rock,Pop/Rock
Ivana Spagna,italo disco,unknown
Diego Torres,latin pop,Pop/Rock
Ratones Paranoicos,argentine rock,Pop/Rock
Bibio,downtempo,unknown
Vicentico,argentine rock,Pop/Rock
The Bangles,jangle pop,Pop/Rock
Fugees,east coast hip hop,Urban
Pretenders,unknown,unknown
CNCO,reggaeton,Urban
Alphaville,synthpop,Pop/Rock
Joe Henderson,hard bop,unknown
Alanis Morissette,unknown,unknown
Rush,progressive rock,Pop/Rock
Glenn Close,unknown,unknown
